port,mode,raw_index,real,imag
1.0,1.0,1.0,27.62219404187078,335.04361388874497
1.0,2.0,2.0,0.0,-0.0
1.0,3.0,3.0,-185.69531256381106,186.8590303402033
1.0,4.0,4.0,0.0,-0.0
1.0,5.0,5.0,-7.587777988463325,-46.31771371811056
1.0,6.0,6.0,0.0,-0.0
1.0,7.0,7.0,3.137804890064444,1.3236491993946615
1.0,8.0,8.0,0.0,-0.0
1.0,9.0,9.0,-0.31592591341513676,0.22214891277937096
1.0,10.0,10.0,0.0,-0.0
1.0,11.0,11.0,0.01602117824056804,-0.011161966113092127
1.0,12.0,12.0,0.0,-0.0
1.0,13.0,13.0,-0.00019169845860857973,0.000493530994870547
1.0,14.0,14.0,0.0,-0.0
1.0,15.0,15.0,-1.8351095950995888e-5,-1.3525956090383449e-5
1.0,16.0,16.0,0.0,-0.0
1.0,17.0,17.0,1.469027783166627e-6,-3.6885841690485174e-6
1.0,18.0,18.0,0.0,-0.0
1.0,19.0,19.0,-1.634283735942905e-7,4.236834005098571e-7
1.0,20.0,20.0,0.0,-0.0
2.0,1.0,21.0,82858.85084382289,-44143.975160545495
2.0,2.0,22.0,0.0,0.0
2.0,3.0,23.0,-1941.7432397622274,118.20859768583296
2.0,4.0,24.0,0.0,0.0
2.0,5.0,25.0,674.8513311196202,-270.5730871103141
2.0,6.0,26.0,0.0,0.0
2.0,7.0,27.0,-17.68142972044536,70.45538511549768
2.0,8.0,28.0,0.0,0.0
2.0,9.0,29.0,-1.1827304602628232,-3.7046878073795373
2.0,10.0,30.0,0.0,0.0
2.0,11.0,31.0,-0.04299856940118072,0.486905624822049
2.0,12.0,32.0,0.0,0.0
2.0,13.0,33.0,-0.03323186246720101,-0.06585465387598416
2.0,14.0,34.0,0.0,0.0
2.0,15.0,35.0,0.0052362986314641365,0.004646149258965516
2.0,16.0,36.0,0.0,0.0
2.0,17.0,37.0,-0.0007541967682385296,-0.0005731774220628585
2.0,18.0,38.0,0.0,0.0
2.0,19.0,39.0,0.00014316602710998962,4.1639307204074725e-5
2.0,20.0,40.0,0.0,0.0
