mode_n,physical_frequency_GHz_at_peak,power_all_output_ports,percent_total,sigma,signed_power
-10.0,-64.48857715430863,0.0006648147148316769,3.453212649520147e-5,-1.0,-0.0006648147148316769
-9.0,-57.36857715430863,0.0,0.0,-1.0,-0.0
-8.0,-50.24857715430863,0.14345835226029305,0.007451582909532747,-1.0,-0.14345835226029305
-7.0,-43.12857715430862,0.0,0.0,-1.0,-0.0
-6.0,-36.008577154308625,20.843802944574797,1.0826788635467395,-1.0,-20.843802944574797
-5.0,-28.888577154308628,0.0,0.0,-1.0,-0.0
-4.0,-21.768577154308623,632.6926503484946,32.86362673237489,-1.0,-632.6926503484946
-3.0,-14.64857715430862,0.0,0.0,-1.0,-0.0
-2.0,-7.5285771543086195,308.4226314890167,16.0202370479393,-1.0,-308.4226314890167
-1.0,-0.4085771543086185,0.0,0.0,-1.0,-0.0
0.0,6.7114228456913825,600.5109052006623,31.19202700768671,1.0,600.5109052006623
1.0,13.831422845691383,0.0,0.0,1.0,0.0
2.0,20.951422845691383,341.00764145318834,17.71278334817435,1.0,341.00764145318834
3.0,28.071422845691387,0.0,0.0,1.0,0.0
4.0,35.191422845691385,21.391227933255852,1.1111134762802355,1.0,21.391227933255852
5.0,42.31142284569139,0.0,0.0,1.0,0.0
6.0,49.43142284569139,0.19291792670601748,0.01002063597507902,1.0,0.19291792670601748
7.0,56.551422845691384,0.0,0.0,1.0,0.0
8.0,63.67142284569139,0.00047290218517915297,2.456371333868315e-5,1.0,0.00047290218517915297
9.0,70.7914228456914,0.0,0.0,1.0,0.0
10.0,77.9114228456914,4.2533071857476615e-5,2.2092733281087916e-6,1.0,4.2533071857476615e-5
