frequency_GHz,mode_-10_real,mode_-10_imag,mode_-10_abs,mode_-10_power,mode_-9_real,mode_-9_imag,mode_-9_abs,mode_-9_power,mode_-8_real,mode_-8_imag,mode_-8_abs,mode_-8_power,mode_-7_real,mode_-7_imag,mode_-7_abs,mode_-7_power,mode_-6_real,mode_-6_imag,mode_-6_abs,mode_-6_power,mode_-5_real,mode_-5_imag,mode_-5_abs,mode_-5_power,mode_-4_real,mode_-4_imag,mode_-4_abs,mode_-4_power,mode_-3_real,mode_-3_imag,mode_-3_abs,mode_-3_power,mode_-2_real,mode_-2_imag,mode_-2_abs,mode_-2_power,mode_-1_real,mode_-1_imag,mode_-1_abs,mode_-1_power,mode_0_real,mode_0_imag,mode_0_abs,mode_0_power,mode_1_real,mode_1_imag,mode_1_abs,mode_1_power,mode_2_real,mode_2_imag,mode_2_abs,mode_2_power,mode_3_real,mode_3_imag,mode_3_abs,mode_3_power,mode_4_real,mode_4_imag,mode_4_abs,mode_4_power,mode_5_real,mode_5_imag,mode_5_abs,mode_5_power,mode_6_real,mode_6_imag,mode_6_abs,mode_6_power,mode_7_real,mode_7_imag,mode_7_abs,mode_7_power,mode_8_real,mode_8_imag,mode_8_abs,mode_8_power,mode_9_real,mode_9_imag,mode_9_abs,mode_9_power,mode_10_real,mode_10_imag,mode_10_abs,mode_10_power
1.0,0.0010330296548694367,0.0004165997175222143,0.0011138696478849113,1.2407055924792563e-6,-0.0,-0.0,0.0,0.0,-0.00393040617818168,-0.0010832596099355687,0.004076952796882309,1.6621544108006483e-5,-0.0,-0.0,0.0,0.0,0.059236275280782985,0.03681229496770857,0.069742966454907,0.004864081369930284,-0.0,0.0,0.0,0.0,-0.665419550072589,0.32693289646614293,0.7413961804666575,0.5496682964105485,-0.0,0.0,0.0,0.0,0.10175185827236134,-3.277244269577661,3.278823484596494,10.750683443141495,-0.0,0.0,0.0,0.0,0.2523675748385786,3.0575515476373725,3.0679489662133554,9.412310859289596,-0.0,-0.0,0.0,0.0,-1.634699992919787,0.10578676933950992,1.6381193202631004,2.683434907419242,-0.0,-0.0,0.0,0.0,0.09542246307589834,-0.34254807594446174,0.35559053810910646,0.1264446307927239,-0.0,-0.0,0.0,0.0,0.021513708866548274,0.015847647535714472,0.02672054643174115,0.0007139876016108347,-0.0,-0.0,0.0,0.0,0.00017867924077016048,-0.0012325540470985049,0.0012454379752123766,1.5511157501011044e-6,-0.0,-0.0,0.0,0.0,0.00021509169687096037,0.0004543361823456941,0.0005026786295947829,2.526858046512889e-7
1.0380761523046091,0.0009351865682779868,-0.0008172408619737862,0.0012419567399741486,1.542456543967215e-6,-0.0,-0.0,0.0,0.0,-0.0038026025369686284,0.002789173603639797,0.0047158536284962515,2.223927544540126e-5,-0.0,-0.0,0.0,0.0,0.07273478945034528,-0.04765372248182824,0.08695531532207311,0.007561226862761163,-0.0,0.0,0.0,0.0,0.023944537671054464,0.8631745372357188,0.8635065851609806,0.7456436226163777,-0.0,0.0,0.0,0.0,-2.9222619992813956,-1.5484647915460699,3.3071677313226666,10.937358403101914,-0.0,0.0,0.0,0.0,2.8668900483289206,1.2225631393203409,3.116684003686002,9.713719178832207,-0.0,-0.0,0.0,0.0,-0.6739914069702662,1.525736437606667,1.6679736489856314,2.7821360937104425,-0.0,-0.0,0.0,0.0,-0.26472645756434493,-0.24066764091247753,0.35777228891704865,0.12800101071694414,-0.0,-0.0,0.0,0.0,0.024296639151152283,-0.012769810753622565,0.02744803710148761,0.0007533947407246405,-0.0,-0.0,0.0,0.0,-0.0009442068922352613,-0.0006460792386383358,0.0011440913590898508,1.308945037944062e-6,-0.0,-0.0,0.0,0.0,0.0004973538955624486,1.4407654405746343e-5,0.0004975625367093251,2.475684779366185e-7
1.0761523046092185,-0.00032229233297838175,-0.0012300142984190653,0.0012715374639435495,1.6168075222119934e-6,-0.0,-0.0,0.0,0.0,0.001153605051199815,0.005023137474775209,0.005153902861390074,2.6562714704644792e-5,-0.0,-0.0,0.0,0.0,-0.013193915924478977,-0.08568214420726367,0.0866920368510081,0.007515509253376546,-0.0,0.0,0.0,0.0,0.7823436060010802,0.35614681329446163,0.8595941312448414,0.7389020704705737,-0.0,0.0,0.0,0.0,-2.950206341842418,1.901243896812936,3.5097643531461853,12.31844581461566,-0.0,0.0,0.0,0.0,2.661612756777975,-1.9115023839912642,3.2768924045576378,10.738023831047537,-0.0,-0.0,0.0,0.0,1.0891286820230677,1.3876320014105525,1.7640078960548788,3.1117238573439603,-0.0,-0.0,0.0,0.0,-0.34704682060176345,0.13138738383286017,0.3710850850145232,0.1377041403202359,-0.0,-0.0,0.0,0.0,-0.0005254244719792263,-0.028884266754364993,0.028889045273478135,0.0008345769368130694,-0.0,-0.0,0.0,0.0,-0.0009957269850599858,0.0005736244537221407,0.0011491376082457111,1.3205172426846734e-6,-0.0,-0.0,0.0,0.0,0.00024409382435439494,-0.00044972064599052087,0.0005116937116264823,2.618304545180856e-7
1.1142284569138277,-0.0013671052616076368,-0.0003542986516144361,0.0014122692133056972,1.9945043308510927e-6,-0.0,-0.0,0.0,0.0,0.005041436095931393,0.0017659243534352946,0.005341775615974133,2.8534566731415826e-5,-0.0,-0.0,0.0,0.0,-0.09197308245145051,-0.038461708218824046,0.09969127792706477,0.00993835089473127,-0.0,0.0,0.0,0.0,0.791867560071527,-0.5727680061454977,0.9773010905332719,0.9551174215575224,-0.0,0.0,0.0,0.0,0.5032872061372204,3.7422361831509825,3.775927655867607,14.257629662345842,-0.0,0.0,0.0,0.0,-0.510827888691264,-3.5160321971745345,3.5529463186815473,12.62342754343276,-0.0,-0.0,0.0,0.0,1.7943972703750533,-0.4014138837738795,1.8387481257681466,3.380994670015872,-0.0,-0.0,0.0,0.0,-0.028827681315073343,0.376536639919471,0.37763855260268225,0.1426108764118488,-0.0,-0.0,0.0,0.0,-0.02801366002770493,-0.011132514473338666,0.030144618535435607,0.0009086980266469279,-0.0,-0.0,0.0,0.0,5.676948119836246e-5,0.0010998976386391416,0.0011013616978447593,1.2129975894794909e-6,-0.0,-0.0,0.0,0.0,-0.0003079538359559575,-0.0004183960196545693,0.0005195101484502257,2.698907943427755e-7
1.1523046092184368,-0.0009095897643870121,0.0011766227468088522,0.0014872103508870654,2.211794627785628e-6,-0.0,-0.0,0.0,0.0,0.004348780092250085,-0.004512570823577569,0.006266991601123636,3.927518372855419e-5,-0.0,-0.0,0.0,0.0,-0.07153601391855076,0.0791513582572997,0.10668804432236301,0.011382338801330494,-0.0,0.0,0.0,0.0,-0.2552618877780648,-0.988642646271608,1.0210645980440949,1.042572913378949,-0.0,0.0,0.0,0.0,3.5918942813382118,1.2569486624930453,3.8054729625176953,14.481624468453205,-0.0,0.0,0.0,0.0,-3.373324904269439,-1.2200262581607653,3.5871694942344416,12.86778498036618,-0.0,-0.0,0.0,0.0,0.47428617703469594,-1.7924447375756274,1.8541320112086805,3.4378055149887468,-0.0,-0.0,0.0,0.0,0.3168682452843462,0.19628058948809257,0.37273523401923475,0.1389315546793737,-0.0,-0.0,0.0,0.0,-0.021419182397087656,0.01962190823708108,0.02904824706284598,0.0008438006574241402,-0.0,-0.0,0.0,0.0,0.0008393596078419055,0.00046934741291455726,0.0009616712251523935,9.248115452861055e-7,-0.0,-0.0,0.0,0.0,-0.0004952766068984622,6.813523152528191e-5,0.0004999413236729462,2.499413271158576e-7
1.190380761523046,0.000563981383976401,0.001369519652965292,0.0014811006317364496,2.19365908133011e-6,-0.0,-0.0,0.0,0.0,-0.0020306096885494953,-0.005502251213736771,0.0058649931053922685,3.4398144126298845e-5,-0.0,-0.0,0.0,0.0,0.027221344523734058,0.09750440230740419,0.10123294951251768,0.010248110067003954,-0.0,0.0,0.0,0.0,-0.9622543413597004,-0.29304417688911283,1.0058868261758918,1.0118083070742088,-0.0,0.0,0.0,0.0,3.037825406532631,-2.6987310818338464,4.063438525760077,16.511532652631228,-0.0,0.0,0.0,0.0,-2.958196805967942,2.3920494225151283,3.80431712434622,14.472828782593893,-0.0,-0.0,0.0,0.0,-1.425930869172899,-1.3273740240342646,1.9481274710195675,3.795200643341096,-0.0,-0.0,0.0,0.0,0.33477335153912946,-0.19010629780105626,0.3849851962924879,0.14821360136436543,-0.0,-0.0,0.0,0.0,0.006883217390684332,0.029652593947411182,0.030441008680026777,0.0009266550094574656,-0.0,-0.0,0.0,0.0,0.000897454779993812,-0.0005051831722605516,0.0010298714092880604,1.0606351196689757e-6,-0.0,-0.0,0.0,0.0,-0.00019223844542526128,0.0004871751875455966,0.0005237320720173706,2.742952832596083e-7
1.2284569138276553,0.0017002297661113947,0.0001363299893150773,0.001705686701465969,2.9093671235578575e-6,-0.0,-0.0,0.0,0.0,-0.006835945273513437,-0.001739588159110321,0.0070538156160894604,4.9756314745787534e-5,-0.0,-0.0,0.0,0.0,0.12492346991050608,0.022624029566252875,0.12695558297410872,0.016117720048295803,-0.0,0.0,0.0,0.0,-0.8021993605267838,0.885799773680926,1.1950585981795037,1.4281650530827603,-0.0,0.0,0.0,0.0,-1.2379825623989464,-4.156475661845636,4.336921806110756,18.808890752318984,-0.0,0.0,0.0,0.0,0.8736289507261338,4.017795550619722,4.111679538841333,16.905908630126476,-0.0,-0.0,0.0,0.0,-1.881051846476615,0.7433193639436881,2.022592328163719,4.090879725946732,-0.0,-0.0,0.0,0.0,-0.02531925768683996,-0.39642270694328763,0.39723044620227227,0.15779202739005632,-0.0,-0.0,0.0,0.0,0.032291033486144115,0.007076718607182834,0.03305738631302433,0.0010927907898485283,-0.0,-0.0,0.0,0.0,-0.00027103729712754215,-0.0009003738580995799,0.0009402841595939634,8.84134300783326e-7,-0.0,-0.0,0.0,0.0,0.0003670066854709219,0.00037812219707100415,0.0005269443073970488,2.7767030309815546e-7
1.2665330661322645,0.0007100432480472659,-0.0015313013887946407,0.0016879115372026778,2.849045357421907e-6,-0.0,-0.0,0.0,0.0,-0.003807629630293176,0.006865175336847706,0.007850393353657418,6.162867580714856e-5,-0.0,-0.0,0.0,0.0,0.052677013836847385,-0.10723841828083651,0.11947780606515614,0.01427494614214306,-0.0,0.0,0.0,0.0,0.5464286241797249,0.9813799165549407,1.1232500976809794,1.2616907819403298,-0.0,0.0,0.0,0.0,-4.30945125247125,-0.7705621778209819,4.377800380021255,19.165136167314245,-0.0,0.0,0.0,0.0,3.985491407180466,1.0903549498985452,4.131950589428387,17.07301567347759,-0.0,-0.0,0.0,0.0,-0.19006102415185014,2.014163830543076,2.02311124982528,4.092979129169607,-0.0,-0.0,0.0,0.0,-0.36136137505161775,-0.1600951366992945,0.3952372656695744,0.15621249617396174,-0.0,-0.0,0.0,0.0,0.018658523921597843,-0.02782445933214741,0.03350135895839397,0.0011223410520591638,-0.0,-0.0,0.0,0.0,-0.0006009749088757468,-0.0003784878174296543,0.0007102280401679981,5.044238690408754e-7,-0.0,-0.0,0.0,0.0,0.0005040645684270636,-0.00013151573452593033,0.0005209390344094564,2.713774775714568e-7
1.3046092184368736,-0.0006735706744372431,-0.0012952274621612415,0.0014599012405633789,2.1313116321984925e-6,-0.0,-0.0,0.0,0.0,0.0030255378483756983,0.003841705887756216,0.004890049427150468,2.391258339997462e-5,-0.0,-0.0,0.0,0.0,-0.021787031777691517,-0.08796058238403573,0.09061864491935905,0.008211738807020877,-0.0,0.0,0.0,0.0,0.9268768758122279,0.2772690006869168,0.967459994861471,0.9359788416573576,-0.0,0.0,0.0,0.0,-2.9393588972561733,3.6210674394637383,4.663899669592336,21.7519601280235,-0.0,0.0,0.0,0.0,3.170461209567067,-2.9728829276957236,4.346246332544229,18.889857183154163,-0.0,-0.0,0.0,0.0,1.73641238946742,1.1779314382874608,2.0982493797453916,4.4026504596019205,-0.0,-0.0,0.0,0.0,-0.33253393659691627,0.24874135576046713,0.415272297479855,0.17245108105419718,-0.0,-0.0,0.0,0.0,-0.017041117845052262,-0.02772151627875838,0.03254046960635978,0.0010588821622024244,-0.0,-0.0,0.0,0.0,-0.0010016870283663677,0.00020854991562374345,0.001023166638482762,1.046869970104115e-6,-0.0,-0.0,0.0,0.0,0.00014938190563332376,-0.0005418993211979879,0.0005621119355123883,3.1596982804548334e-7
1.342685370741483,-0.0020342520811209353,-4.2445837209081735e-5,0.0020346948613099796,4.139983178641237e-6,-0.0,-0.0,0.0,0.0,0.007593746870331015,0.00298328274735872,0.008158735654582165,6.656496748135026e-5,-0.0,-0.0,0.0,0.0,-0.1645112643403441,-0.025890018891180134,0.1665360296543791,0.027734249173044238,-0.0,0.0,0.0,0.0,0.9408042435856601,-1.185006995745319,1.513061203228122,2.2893542047141326,-0.0,0.0,0.0,0.0,2.1972908503907154,4.296015169423564,4.82533246700454,23.283833417128122,-0.0,0.0,0.0,0.0,-1.4291537480444865,-4.418983215105294,4.644339898298996,21.569893090931924,-0.0,-0.0,0.0,0.0,1.8580475769615512,-1.1096794479433496,2.164192522730025,4.683729275440549,-0.0,-0.0,0.0,0.0,0.09021125673824487,0.42152384717889074,0.4310689325186708,0.18582042458278636,-0.0,-0.0,0.0,0.0,-0.028363605510796332,0.002898139554328313,0.028511284265154355,0.0008128933304484383,-0.0,-0.0,0.0,0.0,-0.0004976725596957435,0.0013966210521704657,0.0014826423506833508,2.1982283400398523e-6,-0.0,-0.0,0.0,0.0,-0.0004385559870093743,-0.00040336288278363205,0.0005958464306759658,3.5503296894928855e-7
