frequency_GHz,max_abs_SSigmaSdagger_minus_Sigma,max_abs_SdaggerS_minus_I,bogoliubov_sum
1.0,2.7103191692252563e-12,999.908283410714,1.0000000000000355
1.065326633165829,6.821210263296962e-12,896.9695699404671,1.000000000000034
1.1306532663316582,7.048583938740194e-12,853.905935822558,0.9999999999998256
1.1959798994974873,1.9795846265156774e-12,844.1246873171069,0.9999999999998517
1.2613065326633166,2.4166788280943957e-12,788.6534478128242,0.9999999999998223
1.3266331658291457,3.183231456205249e-12,795.8478145756761,1.0000000000002074
1.3919597989949748,2.9591903899326597e-12,781.090747248796,1.0000000000002391
1.457286432160804,3.069544618483633e-12,764.204055547563,1.0000000000002542
1.5226130653266332,2.8990143619012088e-12,777.8613263043623,0.99999999999952
1.5879396984924623,3.353761712787673e-12,753.8161872917287,0.9999999999997287
1.6532663316582914,4.774847184307873e-12,760.9569650986842,1.0000000000005569
1.7185929648241205,3.672620921581172e-12,750.0229750894581,1.0000000000002418
1.7839195979899496,2.0371766745417744e-12,732.8663276697818,0.9999999999989214
1.849246231155779,1.0459189070388675e-11,743.8168021509653,1.0000000000000584
1.914572864321608,6.1546340188207265e-12,710.2839809762845,1.0000000000006348
1.979899497487437,6.366462912410498e-12,716.7391537244233,1.0000000000004015
2.0452261306532664,3.075679056428816e-12,708.1566608003907,1.000000000000176
2.1105527638190953,2.1909252023055457e-12,682.576002201964,0.9999999999993786
2.1758793969849246,4.888534022029489e-12,702.7775245692616,0.9999999999994408
2.241206030150754,6.650680006714538e-12,670.7393863711358,0.9999999999996162
2.306532663316583,2.8425069578555526e-12,675.8344958074362,1.0000000000009186
2.371859296482412,1.8189894035458565e-12,677.0702170095662,0.9999999999991707
2.437185929648241,5.8548721426632255e-12,647.9976038191654,1.0000000000011424
2.5025125628140703,4.092726157978177e-12,670.6559454259324,1.0000000000004998
2.567839195979899,4.121147867408581e-12,638.6608466010747,1.0000000000004927
2.6331658291457285,6.195932655828074e-12,639.2306815599183,0.9999999999993854
2.698492462311558,5.4660744037964735e-12,639.0312255246951,0.9999999999998125
2.7638190954773867,7.215339600308754e-12,605.1102527301606,0.9999999999996928
2.829145728643216,3.183231456205249e-12,625.8585869176602,1.0000000000002658
2.894472361809045,2.8137492336099967e-12,585.734882370971,0.9999999999985366
2.959798994974874,3.552713678800501e-12,584.9580950430184,1.0000000000004279
3.025125628140703,3.879563337250147e-12,588.5293938162965,1.000000000002379
3.0904522613065324,2.3365102919934207e-12,550.7047098859795,1.0000000000010991
3.1557788944723617,4.09738995778876e-12,571.2827527154703,1.000000000000546
3.2211055276381906,2.5579538487363607e-12,535.9452344272579,0.9999999999995243
3.28643216080402,6.938005754303527e-12,532.3447245547721,1.000000000000175
3.3517587939698488,2.432732527423359e-12,532.053348314567,0.9999999999979677
3.417085427135678,5.7340798775840085e-12,495.5334104191246,1.0000000000004061
3.482412060301508,4.064304448547773e-12,511.03051638604666,1.000000000000421
3.5477386934673367,4.1404660758969116e-12,489.88965853557124,1.0000000000006801
3.613065326633166,3.609557097661309e-12,489.90413252025115,0.9999999999972102
3.678391959798995,3.524291969370097e-12,499.02775977762343,1.0000000000001072
3.7437185929648242,2.3021584638627246e-12,531.2094595118555,0.9999999999971838
3.8090452261306535,4.931166586175095e-12,513.3081103662794,0.9999999999977094
3.8743718592964824,7.58859641791787e-12,552.7328533408573,1.0000000000001998
3.9396984924623117,4.100720780097224e-12,547.8629918428222,1.0000000000040028
4.005025125628141,4.668265773943858e-12,556.0370807363392,0.9999999999988495
4.0703517587939695,6.465938895416912e-12,587.5223510289447,0.9999999999993824
4.135678391959798,3.540723335856496e-12,567.962856305623,1.0000000000005926
4.201005025125628,6.677214400135548e-12,612.6847328092549,1.0000000000013247
4.266331658291457,5.983220490629133e-12,604.291979613821,1.000000000001714
4.331658291457286,1.3601390680411302e-12,608.1264779316238,1.0000000000016585
4.396984924623116,2.4703576681557257e-12,640.8781416632988,1.0000000000000544
4.4623115577889445,3.941626131340543e-12,620.4320523887587,1.000000000000174
4.527638190954773,3.481659405224491e-12,655.6561439084899,0.9999999999964342
4.592964824120603,5.568878950092998e-12,650.1747668765531,1.000000000001674
4.658291457286432,1.1694867299018583e-11,652.2306224839334,1.0000000000024556
4.723618090452261,7.829740831647497e-12,680.2784295132991,0.9999999999952307
4.78894472361809,1.2792657656133374e-11,657.6240850454457,1.0000000000014246
4.8542713567839195,6.87805368215777e-12,688.256913992601,1.0000000000018965
4.919597989949748,5.343281372915953e-12,684.6957922003214,1.0000000000011202
4.984924623115577,3.047608854835568e-12,682.9025557197559,0.9999999999983362
5.050251256281406,3.254285729781259e-12,714.257531278397,1.0000000000038514
5.115577889447236,3.19899832381847e-12,696.2341376083365,0.9999999999998342
5.180904522613065,6.338041202980094e-12,723.294586371943,0.9999999999954714
5.246231155778894,6.767586494075326e-12,731.221009733888,1.0000000000004796
5.311557788944723,4.856071081803262e-12,727.2203106886168,0.9999999999951623
5.376884422110552,5.506844717677437e-12,756.770597991442,0.9999999999983521
5.442211055276381,5.004445666724317e-12,745.5950179006246,0.9999999999970662
5.50753768844221,2.40496769172806e-12,763.0744214482907,1.0000000000023073
5.57286432160804,4.2559291914247284e-12,767.9473804564732,0.9999999999977836
5.63819095477387,6.896711334603833e-12,762.2602333632728,1.0000000000040448
5.703517587939698,2.723054444523677e-12,788.3055242719315,0.9999999999962793
5.768844221105528,2.343238860857874e-12,773.8314195763563,1.000000000003659
5.834170854271357,8.203216434818735e-12,799.807367668236,1.0000000000026696
5.899497487437186,3.979039320256561e-12,826.4717520388887,1.000000000003889
5.964824120603016,5.440319831095956e-12,827.3309809235288,1.0000000000023026
6.030150753768845,4.575007407876912e-12,909.4090939848464,1.0000000000070584
6.0954773869346734,2.851139340419934e-12,940.5913200607865,0.999999999997715
6.160804020100502,9.700354684683047e-12,998.3720260103795,0.9999999999983564
6.226130653266332,1.652766851259207e-11,1148.5566918334014,0.999999999998096
6.291457286432161,8.53424813668174e-12,1180.7726938393319,0.9999999999959728
6.35678391959799,7.735368453966253e-12,1309.3098225673723,1.000000000003636
6.42211055276382,2.0232262902570714e-11,1522.4263936097432,1.0000000000015377
6.4874371859296485,6.267993057539337e-12,1509.3492641254668,1.000000000001582
6.552763819095477,1.181277442185285e-11,1676.7999415420552,0.9999999999873276
6.618090452261307,1.3813673476625557e-11,1867.7081483664579,0.9999999999957573
6.683417085427136,1.909661364042238e-11,1713.9767693923832,0.9999999999966619
6.748743718592965,1.489183060186307e-11,1602.281732445148,1.0000000000066802
6.814070351758794,1.7647247128918153e-11,1778.6382267526355,1.000000000002079
6.8793969849246235,1.284594665055335e-11,1049.6089928044219,1.0000000000051703
6.944723618090452,2.813083100447935e-12,162.04670727015278,0.9999999999996899
7.010050251256281,2.751133290114263e-13,24.925900122388647,1.0000000000000542
7.075376884422111,1.0222585002041375e-13,12.912152810590728,0.9999999999999142
7.14070351758794,0.24720803236442093,31.934757679014975,0.9999999999998049
7.206030150753769,2.126034766958442,28.493955520123563,0.9999999999999775
7.271356783919598,1.1855900229066596,99.86807808169146,1.000000000000014
7.336683417085427,0.8741053243000235,943.5676555569353,1.0000000000009368
7.402010050251256,1.2200194592374716,1014.9965721822325,0.9999999999998199
7.467336683417085,1.754131329515574,1549.4559086805486,0.9999999999952437
7.532663316582915,2.2060909840802845,1906.8322943649368,1.0000000000000366
7.597989949748744,3.002404727299294,1812.0872097161948,1.0000000000012101
7.663316582914573,3.880926969828141,1633.0875685163883,0.9999999999982316
7.728643216080402,4.7140372344505685,1658.493641852317,1.0000000000117504
7.793969849246231,8.471315892520822,1532.1408654493957,1.0000000000048335
7.85929648241206,8.019306086317155,1309.5946244244378,0.9999999999980534
7.924623115577889,11.696023358069478,1294.2538434797414,0.999999999996339
7.989949748743719,24.905459453691584,1148.535417232784,1.0000000000013944
8.055276381909547,16.104533848991416,1020.7196181849945,1.0000000000006177
8.120603015075377,21.84882160356887,999.6718902034162,0.9999999999985031
8.185929648241206,23.5494488275497,897.8543687970358,1.0000000000016134
8.251256281407034,28.890760863012108,853.2508707116693,1.0000000000016256
8.316582914572864,34.32793039659976,844.4732522376745,1.0000000000026772
8.381909547738694,38.25898337175586,788.9178759741573,0.9999999999993048
8.447236180904522,47.96438374933479,795.4777470313494,1.000000000000471
8.512562814070352,48.967785562241964,781.6044183687275,0.9999999999973268
8.57788944723618,58.96214024082903,764.035070562138,0.999999999998476
8.64321608040201,64.94899166250279,777.9527107772249,0.9999999999987482
8.708542713567839,71.2603076426588,754.0369192048033,1.0000000000011255
8.773869346733667,83.451988350378,760.6943862734779,1.0000000000004043
8.839195979899497,85.70019411623556,750.4237646813272,1.0000000000028433
8.904522613065327,100.665689107508,732.5958689705016,0.9999999999996185
8.969849246231155,105.35620091532401,743.9065328268345,0.9999999999962997
9.035175879396984,115.2505675936371,710.52792083903,1.0000000000021154
9.100502512562812,129.63656920702277,716.2741942357693,1.0000000000024936
9.165829145728642,132.3477640460436,708.6422681580719,0.999999999997012
9.231155778894472,153.252978855773,682.3298716102437,0.9999999999999903
9.2964824120603,156.97151390493363,702.6945697713736,1.0000000000013423
9.36180904522613,172.39244452891793,671.131629499403,0.999999999998628
9.42713567839196,188.00024960015432,675.2988937097508,0.9999999999993786
9.492462311557787,191.34312292858925,677.5262614988573,0.9999999999975447
9.557788944723617,218.00674920673447,647.8252406009481,0.9999999999996276
9.623115577889447,218.93865870606493,670.4807261964526,0.9999999999995074
9.688442211055275,240.26409165725525,639.087561195145,0.9999999999951346
9.753768844221105,255.30350850888516,638.6633413969442,0.9999999999985937
9.819095477386934,259.7976492156457,639.4590970041744,1.000000000002443
9.884422110552762,290.8644189674354,604.8988578935155,1.0000000000010039
9.949748743718594,287.48596391640865,625.6466632418212,1.0000000000000084
10.015075376884422,314.4682691012113,586.2027717605691,1.0000000000041278
10.080402010050252,326.4911736007755,584.3522540214709,1.0000000000029847
10.145728643216081,330.9675236039421,588.9268888946223,1.0000000000003955
10.21105527638191,365.47904332783435,550.52610165063,1.0000000000045564
10.27638190954774,356.436485566241,570.9932586726542,0.9999999999991852
10.341708542713569,389.5082467455512,536.3432246078382,0.9999999999972614
10.407035175879397,396.6750282426816,531.6957286034939,1.0000000000012468
10.472361809045227,403.8328660349051,532.4119133058529,1.0000000000002187
10.537688442211056,438.4000079998552,495.3471321289893,0.9999999999984435
10.603015075376884,425.8080064402255,510.788808654458,0.9999999999989431
10.668341708542714,463.5443411942704,489.2066047728196,1.0000000000013824
10.733668341708544,464.70263082258754,490.1141563644594,0.9999999999993251
10.798994974874372,473.4189166313313,498.28609974685355,0.9999999999967034
10.864321608040202,505.19175565907835,531.1708331643007,1.0000000000009581
10.929648241206031,488.37684621056735,513.1399104787191,1.0000000000011322
10.99497487437186,526.195383956692,552.0673366202631,0.9999999999980226
11.06030150753769,522.3811964073569,548.0556538513821,1.0000000000015703
11.125628140703519,529.5753926751663,555.1563411871989,0.9999999999996962
11.190954773869347,560.710306706939,587.4315675928382,1.0000000000012466
11.256281407035177,541.5291837562249,567.5761221458339,0.9999999999994922
11.321608040201005,584.3668645018953,611.9709475256158,0.9999999999998533
11.386934673366834,576.8697849053276,604.5846256942339,1.0000000000022902
11.452261306532664,578.9156421240796,607.1540411732998,0.9999999999987496
11.517587939698492,610.7916121623031,640.6437495161847,1.0000000000006615
11.582914572864322,590.277607437082,620.0657745339142,1.0000000000015874
11.648241206030152,622.6947927684569,654.7374191231678,0.9999999999992232
11.71356783919598,617.4896625998017,650.178863154763,0.999999999999994
11.77889447236181,616.9237252062376,651.2905983682897,1.000000000000333
11.84422110552764,642.9703909302948,680.0378924008464,0.9999999999999571
11.909547738693467,619.5109873316546,657.2653054009097,1.0000000000018274
