mode_n,physical_frequency_GHz_at_peak,power_all_output_ports,percent_total,sigma,signed_power
-10.0,-64.58190954773872,0.0006351431297545283,3.398835341461654e-5,-1.0,-0.0006351431297545283
-9.0,-57.461909547738706,0.0,0.0,-1.0,-0.0
-8.0,-50.3419095477387,0.1205833433018856,0.006452764890402724,-1.0,-0.1205833433018856
-7.0,-43.2219095477387,0.0,0.0,-1.0,-0.0
-6.0,-36.1019095477387,18.727348540105854,1.0021548071311448,-1.0,-18.727348540105854
-5.0,-28.981909547738702,0.0,0.0,-1.0,-0.0
-4.0,-21.861909547738698,603.2928248461402,32.28395110138051,-1.0,-603.2928248461402
-3.0,-14.741909547738697,0.0,0.0,-1.0,-0.0
-2.0,-7.621909547738696,311.712682310553,16.680650886177094,-1.0,-311.712682310553
-1.0,-0.5019095477386948,0.0,0.0,-1.0,-0.0
0.0,6.618090452261306,601.4812860131948,32.18701039747611,1.0,601.4812860131948
1.0,13.738090452261307,0.0,0.0,1.0,0.0
2.0,20.858090452261308,314.2039811577124,16.813967522557,1.0,314.2039811577124
3.0,27.97809045226131,0.0,0.0,1.0,0.0
4.0,35.09809045226131,18.991167890209752,1.0162725467222369,1.0,18.991167890209752
5.0,42.218090452261315,0.0,0.0,1.0,0.0
6.0,49.33809045226131,0.17715518176011882,0.009480088258564086,1.0,0.17715518176011882
7.0,56.45809045226131,0.0,0.0,1.0,0.0
8.0,63.578090452261314,0.0004459696980240207,2.3865133697515467e-5,1.0,0.0004459696980240207
9.0,70.69809045226131,0.0,0.0,1.0,0.0
10.0,77.81809045226132,3.797065141717056e-5,2.0319198292340536e-6,1.0,3.797065141717056e-5
